"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"STR_BC_SR25_Magazine_N","20Rd KAC SR-25 Magazine","20Rd KAC SR-25 Magazine","Zásobník KAC SR-25 na 20 ran","20-Schuss-KAC-SR-25-Magazin","Магазин KAC SR-25 на 20 патронов","Magazynek KAC SR-25 20 naboi","20-lőszeres KAC SR-25 tár","Caricatore KAC SR-25 da 20 colpi","Cargador KAC SR-25 de 20 cartuchos","Chargeur KAC SR-25 de 20 coups","KAC SR-25 20发弹匣","KAC SR-25 20連マガジン","Carregador KAC SR-25 de 20 munições",
"STR_BC_SR25_Magazine_D","A SR-25 .308 Winchester Magazine that holds up to 20 rounds.","A SR-25 .308 Winchester Magazine that holds up to 20 rounds.","Zásobník SR-25 ráže .308 Winchester s kapacitou až 20 nábojů.","SR-25-Magazin im Kaliber .308 Winchester mit einer Kapazität von bis zu 20 Patronen.","Магазин SR-25 под .308 Winchester, вмещающий до 20 патронов.","Magazynek do SR-25 na .308 Winchester mieszczący do 20 naboi.","SR-25 .308 Winchester tár, amely legfeljebb 20 lőszert befogad.","Caricatore SR-25 in .308 Winchester con capacità fino a 20 colpi.","Cargador SR-25 de .308 Winchester con capacidad de hasta 20 cartuchos.","Chargeur SR-25 en .308 Winchester pouvant contenir jusqu’à 20 cartouches.","可容纳最多20发的 SR-25 .308 Winchester 弹匣。","最大20発装填できるSR-25用.308ウィンチェスター・マガジン。","Carregador SR-25 calibre .308 Winchester com capacidade de até 20 munições。",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_RSASS_N","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS","R11 RSASS",
"STR_BC_RSASS_N_B","R11 RSASS | Black","R11 RSASS | Black","R11 RSASS | Černá","R11 RSASS | Schwarz","R11 RSASS | Черный","R11 RSASS | Czarny","R11 RSASS | Fekete","R11 RSASS | Nero","R11 RSASS | Negro","R11 RSASS | Noir","R11 RSASS | 黑色","R11 RSASS | ブラック","R11 RSASS | Preto",
"STR_BC_RSASS_N_T","R11 RSASS | Tan","R11 RSASS | Tan","R11 RSASS | Písková","R11 RSASS | Sandfarben","R11 RSASS | Песочный","R11 RSASS | Piaskowy","R11 RSASS | Homokszínű","R11 RSASS | Sabbia","R11 RSASS | Arena","R11 RSASS | Sable","R11 RSASS | 沙色","R11 RSASS | タン","R11 RSASS | Areia",
"STR_BC_RSASS_D","The Remington R11 RSASS (Remington Semi-Automatic Sniper System) is a highly accurate, gas-operated rifle, a collaboration with JP Enterprises, designed for military/LE use as a semi-automatic sniper rifle for sub-MOA accuracy and rapid follow-up shots, chambered in 7.62x51mm, featuring JP Enterprises components like the LPR07 receiver, Magpul PSR stock, and AAC suppressor, offering a powerful yet reliable platform known for its high-quality parts and tactical advantages in the field and popular in games.","The Remington R11 RSASS (Remington Semi-Automatic Sniper System) is a highly accurate, gas-operated rifle, a collaboration with JP Enterprises, designed for military/LE use as a semi-automatic sniper rifle for sub-MOA accuracy and rapid follow-up shots, chambered in 7.62x51mm, featuring JP Enterprises components like the LPR07 receiver, Magpul PSR stock, and AAC suppressor, offering a powerful yet reliable platform known for its high-quality parts and tactical advantages in the field and popular in games.","Remington R11 RSASS (Remington Semi-Automatic Sniper System) je vysoce přesná, plynem ovládaná puška vzniklá ve spolupráci s JP Enterprises, navržená pro vojenské a policejní použití jako poloautomatická odstřelovací puška s přesností sub-MOA a rychlými následnými ranami. Je komorovaná na 7,62×51 mm, obsahuje komponenty JP Enterprises, jako je pouzdro závěru LPR07, pažba Magpul PSR a tlumič AAC, a nabízí výkonnou, ale spolehlivou platformu známou kvalitními díly, taktickými výhodami v terénu a oblibou ve hrách.","Das Remington R11 RSASS (Remington Semi-Automatic Sniper System) ist ein äußerst präzises, gasbetriebenes Gewehr, entstanden in Zusammenarbeit mit JP Enterprises. Es wurde für militärische und polizeiliche Einsätze als halbautomatisches Scharfschützengewehr entwickelt und bietet Sub-MOA-Präzision sowie schnelle Folgeschüsse. Es ist im Kaliber 7,62×51 mm ausgelegt und verfügt über JP-Enterprises-Komponenten wie das LPR07-Receiver, den Magpul-PSR-Schaft und einen AAC-Schalldämpfer. Dadurch entsteht eine leistungsstarke und zugleich zuverlässige Plattform, bekannt für hochwertige Teile, taktische Vorteile im Einsatz und beliebt in Spielen.","Remington R11 RSASS (Remington Semi-Automatic Sniper System) — это высокоточная газоотводная винтовка, созданная в сотрудничестве с JP Enterprises и предназначенная для военных и правоохранительных органов как полуавтоматическая снайперская система. Она обеспечивает точность уровня sub-MOA и быстрые повторные выстрелы, использует патрон 7,62×51 мм и оснащается компонентами JP Enterprises, такими как ресивер LPR07, приклад Magpul PSR и глушитель AAC. Это мощная и при этом надежная платформа, известная высоким качеством деталей, тактическими преимуществами в бою и популярностью в играх.","Remington R11 RSASS (Remington Semi-Automatic Sniper System) to bardzo celny karabin samopowtarzalny z napędem gazowym, stworzony we współpracy z JP Enterprises i zaprojektowany dla wojska oraz służb jako półautomatyczny karabin snajperski. Zapewnia celność sub-MOA i szybkie strzały następcze, jest w kalibrze 7,62×51 mm i zawiera komponenty JP Enterprises, takie jak komora zamkowa LPR07, kolba Magpul PSR oraz tłumik AAC. To mocna, a jednocześnie niezawodna platforma znana z wysokiej jakości części, przewag taktycznych w terenie i popularności w grach.","A Remington R11 RSASS (Remington Semi-Automatic Sniper System) egy rendkívül pontos, gázüzemű puska, a JP Enterprises-szel együttműködésben készült, és katonai/rendvédelmi felhasználásra tervezték fél-automata mesterlövészfegyverként, sub-MOA pontossággal és gyors egymást követő lövésekkel. 7,62×51 mm-es lőszerre van kamrázva, JP Enterprises alkatrészekkel, például LPR07 tok, Magpul PSR tus és AAC hangtompító, így egy erős, mégis megbízható platformot ad, amely a magas minőségű alkatrészeiről, taktikai előnyeiről és játékokban való népszerűségéről ismert.","Il Remington R11 RSASS (Remington Semi-Automatic Sniper System) è un fucile ad alta precisione a funzionamento a gas, frutto della collaborazione con JP Enterprises, progettato per impieghi militari e delle forze dell’ordine come fucile di precisione semiautomatico con accuratezza sub-MOA e rapidi colpi di follow-up. Camerato in 7,62×51 mm, integra componenti JP Enterprises come il receiver LPR07, il calcio Magpul PSR e un soppressore AAC, offrendo una piattaforma potente ma affidabile, nota per parti di alta qualità, vantaggi tattici sul campo e popolarità nei giochi.","El Remington R11 RSASS (Remington Semi-Automatic Sniper System) es un rifle muy preciso de funcionamiento por gas, desarrollado en colaboración con JP Enterprises, diseñado para uso militar y policial como fusil de francotirador semiautomático con precisión sub-MOA y disparos de seguimiento rápidos. Está calibrado en 7,62×51 mm e incorpora componentes de JP Enterprises como el receptor LPR07, la culata Magpul PSR y un supresor AAC, ofreciendo una plataforma potente pero fiable, conocida por sus piezas de alta calidad, ventajas tácticas en el campo y popularidad en juegos.","Le Remington R11 RSASS (Remington Semi-Automatic Sniper System) est un fusil très précis à fonctionnement par gaz, issu d’une collaboration avec JP Enterprises, conçu pour un usage militaire et des forces de l’ordre en tant que fusil de précision semi-automatique offrant une précision sub-MOA et des tirs de suivi rapides. Chambré en 7,62×51 mm, il intègre des composants JP Enterprises tels que le boîtier LPR07, la crosse Magpul PSR et un modérateur de son AAC, proposant une plateforme puissante mais fiable, réputée pour la qualité de ses pièces, ses avantages tactiques sur le terrain et sa popularité dans les jeux.","Remington R11 RSASS（Remington 半自动狙击系统）是一款高精度的导气式步枪，由 JP Enterprises 合作打造，面向军方与执法部门使用，作为半自动狙击步枪可提供 sub-MOA 级精度与快速补射能力。其口径为 7.62×51mm，并采用 JP Enterprises 的部件，例如 LPR07 机匣、Magpul PSR 枪托以及 AAC 消音器，兼具强大火力与可靠性，以高质量零件与战术优势闻名，也在游戏中很受欢迎。","Remington R11 RSASS（Remington Semi-Automatic Sniper System）はJP Enterprisesとの共同開発による高精度なガス作動式ライフルで、軍・法執行機関向けに半自動スナイパーライフルとして設計されています。sub-MOA級の精度と素早い追撃射撃を実現し、口径は7.62×51mm。LPR07レシーバー、Magpul PSRストック、AACサプレッサーなどJP Enterprisesのコンポーネントを備え、強力でありながら信頼性の高いプラットフォームとして、高品質なパーツと戦術的優位性で知られ、ゲームでも人気です。","O Remington R11 RSASS (Remington Semi-Automatic Sniper System) é um rifle de alta precisão operado a gás, desenvolvido em colaboração com a JP Enterprises, projetado para uso militar e policial como um rifle de precisão semiautomático, oferecendo precisão sub-MOA e disparos de acompanhamento rápidos. Calibrado em 7,62×51mm, ele traz componentes da JP Enterprises como o receptor LPR07, a coronha Magpul PSR e um supressor AAC, oferecendo uma plataforma potente e confiável, conhecida pela alta qualidade das peças, vantagens táticas em campo e popularidade em jogos.","",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_HKG28_N","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28","HK-G28",
"STR_BC_HKG28_N_T","HK-G28 | Tan","HK-G28 | Tan","HK-G28 | Písková","HK-G28 | Sandfarben","HK-G28 | Песочный","HK-G28 | Piaskowy","HK-G28 | Homokszínű","HK-G28 | Sabbia","HK-G28 | Arena","HK-G28 | Sable","HK-G28 | 沙色","HK-G28 | タン","HK-G28 | Areia",
"STR_BC_HKG28_D","The HK G28 is a military Designated Marksman Rifle (DMR) by Heckler & Koch, chambered in 7.62x51mm NATO, known for its precision and reliability, bridging the gap between assault rifles and sniper rifles, used by militaries like Germany's Bundeswehr and adopted by the U.S. military as the G28M110A1. It features a gas piston system (similar to the HK416/G36), an adjustable stock, and is designed for accuracy in various conditions, often with a telescopic sight and red-dot sight combo.","The HK G28 is a military Designated Marksman Rifle (DMR) by Heckler & Koch, chambered in 7.62x51mm NATO, known for its precision and reliability, bridging the gap between assault rifles and sniper rifles, used by militaries like Germany's Bundeswehr and adopted by the U.S. military as the G28M110A1. It features a gas piston system (similar to the HK416/G36), an adjustable stock, and is designed for accuracy in various conditions, often with a telescopic sight and red-dot sight combo.","HK G28 je vojenská puška pro určeného střelce (DMR) od Heckler & Koch, komorovaná na 7,62×51 mm NATO, známá svou přesností a spolehlivostí. Překlenuje mezeru mezi útočnými puškami a odstřelovacími puškami, používají ji armády jako německý Bundeswehr a americká armáda ji zavedla jako G28/M110A1. Využívá pístový plynový systém (podobný HK416/G36), má nastavitelnou pažbu a je navržena pro přesnou střelbu v různých podmínkách, často s kombinací puškohledu a kolimátoru.","Die HK G28 ist ein militärisches Designated-Marksman-Gewehr (DMR) von Heckler & Koch im Kaliber 7,62×51 mm NATO, bekannt für Präzision und Zuverlässigkeit. Es schließt die Lücke zwischen Sturmgewehren und Scharfschützengewehren, wird u. a. von der deutschen Bundeswehr genutzt und vom US-Militär als G28/M110A1 übernommen. Es verfügt über ein Gasdrucklader-System mit Gaskolben (ähnlich HK416/G36), eine verstellbare Schulterstütze und ist für präzises Schießen unter verschiedensten Bedingungen ausgelegt – häufig mit einer Kombination aus Zielfernrohr und Rotpunktvisier.","HK G28 — это военная винтовка назначенного стрелка (DMR) от Heckler & Koch под патрон 7,62×51 мм NATO, известная своей точностью и надежностью. Она занимает нишу между штурмовыми и снайперскими винтовками, используется армиями, включая немецкий Бундесвер, и принята на вооружение армии США как G28/M110A1. Оснащена газопоршневой системой (как у HK416/G36), регулируемым прикладом и рассчитана на точную стрельбу в разных условиях, часто с комбинацией оптического прицела и коллиматора.","HK G28 to wojskowy karabin wyborowy dla strzelca wyborowego (DMR) firmy Heckler & Koch, na nabój 7,62×51 mm NATO, znany z precyzji i niezawodności. Wypełnia lukę między karabinami szturmowymi a snajperskimi, jest używany m.in. przez niemiecki Bundeswehr i został przyjęty przez armię USA jako G28/M110A1. Posiada gazowy układ z tłokiem (podobny do HK416/G36), regulowaną kolbę i jest zaprojektowany do celnego strzelania w różnych warunkach, często z zestawem luneta + kolimator.","A HK G28 egy katonai DMR (Designated Marksman Rifle) a Heckler & Kochtól, 7,62×51 mm NATO lőszerre, amely pontosságáról és megbízhatóságáról ismert, hidat képezve a gépkarabélyok és a mesterlövészpuskák között. Olyan hadseregek használják, mint a német Bundeswehr, és az amerikai hadsereg is rendszeresítette G28/M110A1 néven. Gázdugattyús rendszerrel (a HK416/G36-hoz hasonló), állítható tussal rendelkezik, és különféle körülmények között is pontos lövészetre tervezték, gyakran távcső és vöröspontos irányzék kombinációjával.","L’HK G28 è un fucile militare da tiratore scelto (DMR) di Heckler & Koch, camerato in 7,62×51 mm NATO, noto per precisione e affidabilità. Colma il divario tra fucili d’assalto e fucili da cecchino, ed è impiegato da forze armate come la Bundeswehr tedesca e adottato dalle forze armate statunitensi come G28/M110A1. È dotato di un sistema a pistone a gas (simile a HK416/G36), calcio regolabile ed è progettato per la massima accuratezza in varie condizioni, spesso con combinazione di ottica telescopica e mirino red-dot.","El HK G28 es un fusil militar de tirador designado (DMR) de Heckler & Koch, calibrado en 7,62×51 mm OTAN, conocido por su precisión y fiabilidad. Tiende un puente entre los fusiles de asalto y los fusiles de francotirador; lo usan fuerzas armadas como la Bundeswehr alemana y fue adoptado por el ejército de EE. UU. como G28/M110A1. Incorpora un sistema de pistón de gas (similar al HK416/G36), una culata ajustable y está diseñado para ofrecer precisión en distintas condiciones, a menudo con la combinación de una mira telescópica y un punto rojo.","Le HK G28 est un fusil militaire de tireur désigné (DMR) de Heckler & Koch, chambré en 7,62×51 mm OTAN, réputé pour sa précision et sa fiabilité. Il comble l’écart entre les fusils d’assaut et les fusils de sniper, utilisé par des armées comme la Bundeswehr allemande et adopté par l’armée américaine sous la désignation G28/M110A1. Il dispose d’un système à piston à gaz (similaire au HK416/G36), d’une crosse réglable et est conçu pour être précis dans diverses conditions, souvent avec une combinaison lunette + viseur point rouge.","HK G28 是黑克勒-科赫（Heckler & Koch）推出的军用指定射手步枪（DMR），使用 7.62×51mm NATO 弹药，以精度和可靠性著称，填补了突击步枪与狙击步枪之间的空档。它被德国联邦国防军等军队使用，并被美军以 G28/M110A1 的名称采用。该枪采用导气活塞系统（类似 HK416/G36），配备可调枪托，专为多种环境下的精准射击而设计，常见搭配为高倍镜与红点组合。","HK G28はHeckler & Koch製の軍用DMR（指定射手ライフル）で、7.62×51mm NATO弾を使用し、高い精度と信頼性で知られています。アサルトライフルとスナイパーライフルの中間を担い、ドイツ連邦軍などで採用され、米軍でもG28/M110A1として採用されました。HK416/G36に近いガスピストン方式、調整可能なストックを備え、さまざまな環境での精密射撃を想定して設計されており、望遠スコープとレッドドットの併用構成が一般的です。","O HK G28 é um Rifle de Atirador Designado (DMR) militar da Heckler & Koch, no calibre 7,62×51mm NATO, conhecido por sua precisão e confiabilidade, fazendo a ponte entre fuzis de assalto e fuzis de precisão. É usado por forças armadas como a Bundeswehr alemã e foi adotado pelos EUA como G28/M110A1. Ele utiliza um sistema de pistão a gás (semelhante ao HK416/G36), possui coronha ajustável e foi projetado para precisão em diversas condições, muitas vezes com a combinação de luneta e red dot.","",
"STR_BC_HKG28_Magazine_N","20Rd .308 HK-G28 Magazine","20Rd .308 HK-G28 Magazine","20raný zásobník .308 pro HK-G28","20-Schuss-.308-HK-G28-Magazin","Магазин HK-G28 .308 на 20 патронов","Magazynek .308 do HK-G28 na 20 nabojów","20 töltényes .308 HK-G28 tár","Caricatore HK-G28 .308 da 20 colpi","Cargador HK-G28 .308 de 20 cartuchos","Chargeur HK-G28 .308 20 coups","20发 .308 HK-G28 弹匣","HK-G28用 .308 20連マガジン","Carregador .308 HK-G28 20 munições",
"STR_BC_HKG28_Magazine_D","A 20 308 Winchester Round . Magazine for the HK-G28","A 20 308 Winchester Round . Magazine for the HK-G28","Zásobník pro HK-G28 na 20 nábojů .308 Winchester.","A 20-Schuss-.308-Winchester-Magazin für das HK-G28.","Магазин для HK-G28 на 20 патронов .308 Winchester.","Magazynek do HK-G28 na 20 nabojów .308 Winchester.","20 töltényes .308 Winchester tár a HK-G28-hoz.","Caricatore per HK-G28 da 20 colpi in .308 Winchester.","Cargador para el HK-G28 de 20 cartuchos .308 Winchester.","Chargeur de 20 cartouches .308 Winchester pour le HK-G28.","适用于 HK-G28 的 20 发 .308 Winchester 弹匣。","HK-G28用 .308ウィンチェスター 20発マガジン。","Carregador de 20 munições .308 Winchester para o HK-G28.","",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_MK18Mjolnir_N","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir","MK-18 Mjölnir",
"STR_BC_MK18Mjolnir_N_T","MK-18 Mjölnir | Tan","MK-18 Mjölnir | Tan","MK-18 Mjölnir | Písková","MK-18 Mjölnir | Sandfarben","MK-18 Mjölnir | Песочный","MK-18 Mjölnir | Piaskowy","MK-18 Mjölnir | Homokszínű","MK-18 Mjölnir | Sabbia","MK-18 Mjölnir | Arena","MK-18 Mjölnir | Sable","MK-18 Mjölnir | 沙色","MK-18 Mjölnir | タン","MK-18 Mjölnir | Areia",
"STR_BC_MK18Mjolnir_D","The Mk-18 Mod 1 Extreme Distance Capable Semi-Automatic Rifle was designed to take advantage of the ballistic capabilities of the .338 Lapua Magnum, .338 Norma Magnum, and .300 Norma Magnum cartridges. The system provides extreme distance capability in a lightweight and mobile semi-auto platform. Utilizing SWORD’s proprietary short-stroke piston system the rifle is precise, reliable, and durable. Featuring ambidextrous controls, ergonomic features, and built-in modularity, the Mk-18 is a great choice for the avid hunter, long-range enthusiast, and competition shooter.","The Mk-18 Mod 1 Extreme Distance Capable Semi-Automatic Rifle was designed to take advantage of the ballistic capabilities of the .338 Lapua Magnum, .338 Norma Magnum, and .300 Norma Magnum cartridges. The system provides extreme distance capability in a lightweight and mobile semi-auto platform. Utilizing SWORD’s proprietary short-stroke piston system the rifle is precise, reliable, and durable. Featuring ambidextrous controls, ergonomic features, and built-in modularity, the Mk-18 is a great choice for the avid hunter, long-range enthusiast, and competition shooter.","Poloautomatická puška Mk-18 Mod 1 pro střelbu na extrémní vzdálenosti byla navržena tak, aby využila balistické schopnosti nábojů .338 Lapua Magnum, .338 Norma Magnum a .300 Norma Magnum. Systém nabízí schopnost střelby na extrémní vzdálenost v lehké a mobilní poloautomatické platformě. Díky proprietárnímu krátkozdvihovému pístovému systému SWORD je puška přesná, spolehlivá a odolná. S oboustranným ovládáním, ergonomickými prvky a vestavěnou modularitou je Mk-18 skvělou volbou pro vášnivé lovce, nadšence do střelby na dlouhou vzdálenost i sportovní střelce.","Das halbautomatische Mk-18 Mod 1 Extreme-Distance-Gewehr wurde entwickelt, um die ballistischen Fähigkeiten der Patronen .338 Lapua Magnum, .338 Norma Magnum und .300 Norma Magnum auszunutzen. Das System ermöglicht extreme Reichweiten in einer leichten und mobilen Halbautomatenplattform. Dank des proprietären Short-Stroke-Gaskolbensystems von SWORD ist das Gewehr präzise, zuverlässig und langlebig. Mit beidseitiger Bedienung, ergonomischen Merkmalen und integrierter Modularität ist die Mk-18 eine ausgezeichnete Wahl für passionierte Jäger, Long-Range-Enthusiasten und Wettkampfschützen.","Полуавтоматическая винтовка Mk-18 Mod 1 для стрельбы на экстремальные дистанции была разработана, чтобы использовать баллистические возможности патронов .338 Lapua Magnum, .338 Norma Magnum и .300 Norma Magnum. Система обеспечивает стрельбу на большие дистанции в легкой и мобильной полуавтоматической платформе. Используя фирменную короткоходную газопоршневую систему SWORD, винтовка отличается точностью, надежностью и долговечностью. Благодаря двусторонним органам управления, эргономике и встроенной модульности Mk-18 — отличный выбор для увлеченных охотников, любителей дальнобойной стрельбы и соревновательных стрелков.","Półautomatyczny karabin Mk-18 Mod 1 przystosowany do strzelania na ekstremalne dystanse został zaprojektowany, aby wykorzystać możliwości balistyczne nabojów .338 Lapua Magnum, .338 Norma Magnum oraz .300 Norma Magnum. System zapewnia zdolność rażenia na bardzo duże odległości w lekkiej i mobilnej platformie samopowtarzalnej. Dzięki opatentowanemu krótkochodowemu układowi tłokowemu SWORD karabin jest precyzyjny, niezawodny i trwały. Wyposażony w obustronne manipulatory, ergonomiczne rozwiązania i wbudowaną modularność, Mk-18 to świetny wybór dla zapalonych myśliwych, entuzjastów strzelań długodystansowych i strzelców sportowych.","A Mk-18 Mod 1, extrém nagy távolságra alkalmas fél-automata puska úgy készült, hogy kihasználja a .338 Lapua Magnum, a .338 Norma Magnum és a .300 Norma Magnum lőszerek ballisztikai képességeit. A rendszer extrém távolságú képességet nyújt egy könnyű és mobil fél-automata platformon. A SWORD saját fejlesztésű rövid löketű dugattyús rendszerét használva a puska pontos, megbízható és tartós. Kétkezes kezelőszervekkel, ergonomikus kialakítással és beépített modularitással a Mk-18 kiváló választás a lelkes vadászoknak, a hosszútávú lövészet kedvelőinek és a versenylövőknek.","Il fucile semiautomatico Mk-18 Mod 1, capace di ingaggi a distanze estreme, è stato progettato per sfruttare le capacità balistiche delle cartucce .338 Lapua Magnum, .338 Norma Magnum e .300 Norma Magnum. Il sistema offre prestazioni a distanza estrema in una piattaforma semiautomatica leggera e mobile. Utilizzando il sistema a pistone a corsa corta proprietario di SWORD, il fucile è preciso, affidabile e durevole. Con comandi ambidestri, caratteristiche ergonomiche e modularità integrata, il Mk-18 è un’ottima scelta per cacciatori appassionati, amanti del tiro a lunga distanza e tiratori da competizione.","El rifle semiautomático Mk-18 Mod 1, capaz de alcanzar distancias extremas, fue diseñado para aprovechar las capacidades balísticas de los cartuchos .338 Lapua Magnum, .338 Norma Magnum y .300 Norma Magnum. El sistema ofrece capacidad de tiro a distancia extrema en una plataforma semiautomática ligera y móvil. Al utilizar el sistema de pistón de carrera corta propietario de SWORD, el rifle es preciso, fiable y duradero. Con controles ambidiestros, características ergonómicas y modularidad integrada, el Mk-18 es una gran elección para cazadores apasionados, entusiastas del tiro a larga distancia y tiradores de competición.","Le fusil semi-automatique Mk-18 Mod 1, capable de tirs à très longue distance, a été conçu pour tirer parti des capacités balistiques des cartouches .338 Lapua Magnum, .338 Norma Magnum et .300 Norma Magnum. Le système offre des performances à distance extrême dans une plateforme semi-automatique légère et mobile. Grâce au système à piston à course courte propriétaire de SWORD, le fusil est précis, fiable et durable. Doté de commandes ambidextres, de caractéristiques ergonomiques et d’une modularité intégrée, le Mk-18 est un excellent choix pour les chasseurs passionnés, les amateurs de tir longue distance et les tireurs de compétition.","Mk-18 Mod 1 超远距离半自动步枪旨在充分利用 .338 Lapua Magnum、.338 Norma Magnum 和 .300 Norma Magnum 弹药的弹道性能。该系统在轻量且机动的半自动平台上提供超远距离作战能力。采用 SWORD 专有的短行程活塞系统，步枪精准、可靠且耐用。配备双手通用操控、符合人体工学的设计以及内置模块化能力，Mk-18 是资深猎人、远距离射击爱好者和比赛射手的理想选择。","Mk-18 Mod 1 超長距離対応セミオートライフルは、.338 Lapua Magnum、.338 Norma Magnum、.300 Norma Magnum弾の弾道性能を最大限に活かすために設計されました。軽量で機動性の高いセミオートプラットフォームで、超長距離射撃能力を提供します。SWORD独自のショートストローク・ピストンシステムにより、精密性・信頼性・耐久性に優れています。両利き操作、エルゴノミクス設計、内蔵モジュール性を備え、熱心なハンターや長距離射撃愛好家、競技射手にとって優れた選択肢です。","O rifle semiautomático Mk-18 Mod 1, capaz de atuar em distâncias extremas, foi projetado para aproveitar as capacidades balísticas dos cartuchos .338 Lapua Magnum, .338 Norma Magnum e .300 Norma Magnum. O sistema oferece desempenho em alcance extremo em uma plataforma semiautomática leve e móvel. Utilizando o sistema proprietário de pistão de curso curto da SWORD, o rifle é preciso, confiável e durável. Com controles ambidestros, recursos ergonômicos e modularidade integrada, o Mk-18 é uma ótima escolha para caçadores dedicados, entusiastas de tiro de longa distância e atiradores de competição.","",
"STR_BC_MK18Mjolnir_Magazine_N","10Rd .338LPM MK-18 Mjölnir Magazine","10Rd .338LPM MK-18 Mjölnir Magazine","10raný zásobník .338LPM pro MK-18 Mjölnir","10-Schuss-.338LPM-MK-18-Mjölnir-Magazin","Магазин MK-18 Mjölnir .338LPM на 10 патронов","Magazynek .338LPM do MK-18 Mjölnir na 10 nabojów","10 töltényes .338LPM MK-18 Mjölnir tár","Caricatore MK-18 Mjölnir .338LPM da 10 colpi","Cargador MK-18 Mjölnir .338LPM de 10 cartuchos","Chargeur MK-18 Mjölnir .338LPM 10 coups","10发 .338LPM MK-18 Mjölnir 弹匣","MK-18 Mjölnir用 .338LPM 10連マガジン","Carregador .338LPM MK-18 Mjölnir 10 munições",
"STR_BC_MK18Mjolnir_Magazine_D","A 10-round Mk-18 magazine for .338 LM ammunition, manufactured by SWORD International.","A 10-round Mk-18 magazine for .338 LM ammunition, manufactured by SWORD International.","10ranný zásobník Mk-18 pro munici .338 LM, vyrobený společností SWORD International.","Ein 10-Schuss-Mk-18-Magazin für .338-LM-Munition, hergestellt von SWORD International.","10-зарядный магазин Mk-18 для патронов .338 LM, производства SWORD International.","10-nabojowy magazynek Mk-18 do amunicji .338 LM, produkowany przez SWORD International.","10 töltényes Mk-18 tár .338 LM lőszerhez, a SWORD International gyártmánya.","Caricatore Mk-18 da 10 colpi per munizioni .338 LM, prodotto da SWORD International.","Cargador Mk-18 de 10 cartuchos para munición .338 LM, fabricado por SWORD International.","Chargeur Mk-18 de 10 coups pour munitions .338 LM, fabriqué par SWORD International.","适用于 .338 LM 弹药的 10 发 Mk-18 弹匣，由 SWORD International 制造。",".338 LM弾用の10発Mk-18マガジン（SWORD International製）。","Carregador Mk-18 de 10 munições para munição .338 LM, fabricado pela SWORD International.","",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_FNP90_N","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90","FN P90",
"STR_BC_FNP90_N_T","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan","FN P90 | Tan",
